r,R_eff,bergman_weight,lnZ,F
0.02,0.999799979995999,5.13435896515267e-16,4.927253685157205,-0.0985450737031441
0.05875,0.9982727270140159,8.542440266673082e-12,4.927253685157205,-0.0985450737031441
0.0975,0.9952355248884557,8.512935930457298e-10,4.927253685157205,-0.0985450737031441
0.13624999999999998,0.9906744861456764,1.844993762518975e-08,4.927253685157205,-0.0985450737031441
0.175,0.9845684333757608,1.9138140213674006e-07,4.927253685157205,-0.0985450737031441
0.21375,0.9768883956215264,1.292188289805293e-06,4.927253685157205,-0.0985450737031441
0.2525,0.9675968943728581,6.61652444480824e-06,4.927253685157205,-0.0985450737031441
0.29125,0.9566469764233826,2.8045911631653162e-05,4.927253685157205,-0.0985450737031441
0.33,0.9439809320108113,0.00010402562965951028,4.927253685157205,-0.0985450737031441
0.36875,0.9295286103719455,0.00035067886939553765,4.927253685157205,-0.0985450737031441
0.40750000000000003,0.9132052069496757,0.0011045648283001148,4.927253685157205,-0.0985450737031441
0.44625000000000004,0.8949083402784891,0.003321270773072031,4.927253685157205,-0.0985450737031441
0.485,0.8745141508289045,0.009703756019128,4.927253685157205,-0.0985450737031441
0.52375,0.8518720194371923,0.02798178224643745,4.927253685157205,-0.0985450737031441
0.5625,0.8267972847076845,0.08081949965237166,4.927253685157205,-0.0985450737031441
0.6012500000000001,0.7990609723293961,0.2373432760896634,4.927253685157205,-0.0985450737031441
0.64,0.7683749084919419,0.720435863770324,4.927253685157205,-0.0985450737031441
0.67875,0.7343694148723788,2.3045410541976312,4.927253685157205,-0.0985450737031441
0.7175,0.6965585043626988,7.961424179169666,4.927253685157205,-0.0985450737031441
0.75625,0.6542827657060821,30.709430145715764,4.927253685157205,-0.0985450737031441
0.795,0.6066094295343586,138.85961605943976,4.927253685157205,-0.0985450737031441
0.83375,0.5521421352333111,795.4450004341641,4.927253685157205,-0.0985450737031441
0.8725,0.48861411154406903,6627.730531707007,4.927253685157205,-0.0985450737031441
0.91125,0.41185366029695547,107235.0727864088,4.927253685157205,-0.0985450737031441
0.95,0.31224989991991997,7524543.161795611,4.927253685157205,-0.0985450737031441
