rho,Ec_shape,dEc
1,124.54603730547466,0.0
5,622.0744899015182,497.5284525960435
10,1244.1489798030354,1119.602942497561
20,2488.297959606071,2363.751922300596
50,6220.744899015176,6096.198861709701
100,12441.489798030352,12316.943760724878
137,17044.841023301586,16920.29498599611
200,24882.979596060704,24758.43355875523
300,37324.46939409106,37199.923356785584
500,62207.44899015176,62082.902952846285
