name,hubtype,quality,distance,n_points,vflat_obs,evflat_obs,vflat_bst,tf_err_pct,rms_km_s,rms_pct,chi2_red,f_dark_r5,f_dark_r10,f_dark_r20
NGC5985,Sb,1,39.7000,33,293.6000,8.6000,227.7439,22.4306,90.4637,30.8119,278.1413,0.2662,0.3320,0.4657
NGC6015,Scd,2,17.0000,44,154.1000,7.0000,144.0320,6.5334,19.6478,12.7500,97.6001,0.3287,0.5313,0.7231
NGC6195,Sb,1,127.8000,23,251.7000,9.3000,259.8511,3.2384,11.3550,4.5113,3.4639,0.0485,0.1444,0.3046
NGC6503,Scd,1,6.2600,31,116.3000,2.4000,112.7592,3.0445,7.5519,6.4935,23.0803,0.4755,0.6981,0.8317
NGC6674,Sb,1,51.2000,15,241.3000,4.9000,221.2855,8.2945,41.2506,17.0951,100.6740,0.1191,0.2469,0.4575
NGC6789,BCD,2,3.5200,4,0.0000,0.0000,31.9437,inf,17.2934,inf,8.1345,nan,nan,nan
NGC6946,Scd,1,5.5200,58,158.9000,10.9000,163.3723,2.8146,8.3831,5.2757,5.8443,0.1779,0.3815,0.6599
NGC7331,Sb,1,14.7000,36,239.0000,5.4000,226.7457,5.1273,13.1381,5.4971,4.6965,0.0277,0.1484,0.3964
NGC7793,Sd,1,3.6100,46,0.0000,0.0000,99.6102,inf,9.0189,inf,1.6335,0.5317,nan,nan
NGC7814,Sab,1,14.4000,18,218.9000,7.0000,172.3777,21.2528,35.5159,16.2247,92.7726,0.0913,0.3419,nan
PGC51017,BCD,3,13.6000,6,18.6000,1.3000,45.1900,142.9572,19.9687,107.3588,112.0669,nan,nan,nan
UGC00128,Sdm,1,64.5000,22,129.3000,2.8000,136.1805,5.3213,11.7525,9.0893,82.1463,0.7366,0.7976,0.8161
UGC00191,Sm,1,17.1000,9,0.0000,0.0000,88.8197,inf,8.4173,inf,11.5399,0.7262,nan,nan
UGC00634,Sm,2,30.9000,4,0.0000,0.0000,103.7508,inf,5.1782,inf,15.4293,0.7280,0.7701,nan
UGC00731,Im,1,12.5000,12,73.3000,2.3000,86.4617,17.9560,10.8749,14.8362,15.4013,0.8531,0.8085,nan
UGC00891,Sm,2,10.2000,5,0.0000,0.0000,63.2416,inf,5.8460,inf,10.8276,0.8082,nan,nan
UGC01230,Sm,1,53.7000,11,103.7000,6.1000,129.3841,24.7677,19.6597,18.9582,3.5632,0.7231,0.7621,0.8062
UGC01281,Sdm,1,5.2700,25,55.2000,3.5000,57.5594,4.2744,2.5649,4.6466,0.3474,nan,nan,nan
UGC02023,Im,2,10.4000,5,0.0000,0.0000,62.4584,inf,11.1594,inf,1.6491,nan,nan,nan
UGC02259,Sdm,2,10.5000,8,86.2000,2.9000,78.3249,9.1359,16.9554,19.6698,74.9602,0.7439,nan,nan
UGC02455,Im,3,6.9200,8,0.0000,0.0000,83.9851,inf,33.6169,inf,85.2928,nan,nan,nan
UGC02487,S0,1,69.1000,17,332.0000,3.5000,267.2149,19.5136,86.7804,26.1387,508.8299,nan,0.1135,0.2910
UGC02885,Sc,1,80.6000,19,289.5000,12.0000,278.5551,3.7806,31.4094,10.8495,9.8655,0.0630,0.1771,0.3790
UGC02916,Sab,2,65.4000,43,182.7000,6.9000,214.4808,17.3951,22.1102,12.1019,33.9983,0.0645,0.2698,0.4943
UGC02953,Sab,2,16.5000,115,264.9000,6.0000,222.8470,15.8750,44.7794,16.9043,451.8795,0.0397,0.1353,0.3930
UGC03205,Sab,1,50.0000,48,219.6000,8.6000,189.8148,13.5634,37.5551,17.1016,55.9907,0.1421,0.2790,0.5461
UGC03546,Sa,1,28.7000,30,196.9000,7.4000,179.6388,8.7665,27.4900,13.9614,34.5853,0.0933,0.3075,0.5788
UGC03580,Sa,2,20.7000,47,126.2000,3.2000,124.9112,1.0212,18.0578,14.3089,33.8648,0.4696,0.6652,0.7929
UGC04278,Sd,1,9.5100,25,91.4000,4.8000,85.5272,6.4253,9.3118,10.1880,4.3653,0.8121,nan,nan
UGC04305,Im,3,3.4500,22,34.5000,2.7000,69.3947,101.1439,23.5387,68.2280,54.2966,0.7550,nan,nan
UGC04325,Sm,1,9.6000,8,90.9000,2.7000,79.9851,12.0076,20.5327,22.5882,45.1951,0.6851,nan,nan
UGC04483,Im,2,3.3400,8,0.0000,0.0000,30.0678,inf,4.1162,inf,6.8366,nan,nan,nan
UGC04499,Sdm,1,12.5000,9,72.8000,2.4000,83.8497,15.1781,5.5791,7.6636,3.5054,0.7313,nan,nan
UGC05005,Im,1,53.7000,11,98.9000,7.2000,118.6710,19.9909,11.9268,12.0594,1.5024,0.7567,0.8018,0.8440
UGC05253,Sab,2,22.9000,73,213.7000,7.1000,215.4472,0.8176,22.2742,10.4231,63.1281,0.0537,0.2129,0.4892
UGC05414,Im,1,9.4000,6,0.0000,0.0000,65.0614,inf,5.0632,inf,4.2576,nan,nan,nan
UGC05716,Sm,2,21.3000,12,73.1000,1.2000,79.8946,9.2949,5.3522,7.3217,19.7190,0.8201,0.8371,nan
UGC05721,Sd,1,6.1800,23,79.7000,6.6000,66.6110,16.4228,20.2108,25.3586,17.7816,0.7957,nan,nan
UGC05750,Sdm,1,58.7000,11,0.0000,0.0000,110.0915,inf,13.1433,inf,2.2384,0.8273,0.8111,0.8499
UGC05764,Im,2,7.4700,10,0.0000,0.0000,49.7013,inf,9.8193,inf,81.5391,nan,nan,nan
UGC05829,Im,2,8.6400,11,0.0000,0.0000,77.9113,inf,6.1410,inf,1.4729,0.7824,nan,nan
UGC05918,Im,2,7.6600,8,0.0000,0.0000,50.4831,inf,3.5661,inf,0.8234,nan,nan,nan
UGC05986,Sm,2,8.6300,15,113.0000,4.1000,91.4360,19.0832,20.7445,18.3580,56.2440,0.6054,nan,nan
UGC05999,Im,2,47.7000,5,0.0000,0.0000,114.1769,inf,8.8643,inf,3.1430,0.7531,0.7866,nan
UGC06399,Sm,1,18.0000,9,85.0000,3.8000,81.6960,3.8871,7.1157,8.3714,2.5589,0.7329,nan,nan
UGC06446,Sd,1,12.0000,17,82.2000,4.3000,84.5654,2.8776,11.4298,13.9049,7.7093,0.7787,0.8129,nan
UGC06614,Sa,1,88.7000,13,199.8000,16.0000,215.5808,7.8983,13.8931,6.9535,1.8998,0.1073,0.3147,0.5269
UGC06628,Sm,2,15.1000,7,41.8000,6.4000,88.5035,111.7309,29.4687,70.4992,12.6972,0.7310,nan,nan
UGC06667,Scd,1,18.0000,9,83.8000,3.1000,71.5142,14.6608,18.6261,22.2269,32.8976,0.8150,nan,nan
UGC06786,S0,1,29.3000,45,219.4000,7.8000,167.9776,23.4377,45.8102,20.8798,334.3084,0.1557,0.3789,0.6319
UGC06787,Sab,2,21.3000,71,248.1000,4.8000,184.4754,25.6447,42.4363,17.1045,387.9381,0.0880,0.3114,0.5876
UGC06818,Sm,2,18.0000,8,71.2000,4.0000,72.3835,1.6622,11.2025,15.7338,5.6692,0.7651,nan,nan
UGC06917,Sm,1,18.0000,11,108.7000,3.5000,106.3697,2.1438,9.4734,8.7151,5.6917,0.6542,0.7196,nan
UGC06923,Im,2,18.0000,6,79.6000,2.5000,82.6101,3.7815,5.0511,6.3456,0.6904,0.6591,nan,nan
