16 1 0121320303213120 k=12 r=2 ed=(2, 2) Nc=4
16 1 0121320303213210 k=12 r=2 ed=(2, 2) Nc=4
16 1 0121320313013202 k=12 r=2 ed=(2, 2) Nc=4
16 1 0121320313203201 k=12 r=2 ed=(2, 2) Nc=4
16 1 0121323030210123 k=12 r=2 ed=(2, 2) Nc=4
16 1 0121323030210213 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123120301031232 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123120301231230 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123123010230231 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123123030230121 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123123031031202 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123123031201203 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123132010201323 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123132031020123 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123132301020123 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123132310201023 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123230310101232 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123232010101323 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123232031010123 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123232301010123 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123232301010132 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123232310101023 k=12 r=2 ed=(2, 2) Nc=4
16 1 0123232310101032 k=12 r=2 ed=(2, 2) Nc=4
16 2 0121230230301312 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121230303031212 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121230323031201 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121232030301312 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121232030301321 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121232303030121 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121232303031012 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121232303031021 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121232323030101 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121320230301312 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121320230321301 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121323020301231 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121323020320131 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121323023020131 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121323030301212 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121323203020131 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121323203021031 k=16 r=2 ed=(2, 2) Nc=4
16 2 0121323230320101 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123120203023131 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123120203103132 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123120303103212 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123120320103213 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123120320123103 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123120323023101 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123123023020131 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123123023120130 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123123203020131 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123130203102132 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123130203102312 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123130230102312 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123132020120313 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123132023020131 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123132023120130 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123132023120310 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123132320120103 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123132323020101 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123230203101312 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123230230101312 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123230303101212 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123230320101213 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123232020101313 k=16 r=2 ed=(2, 2) Nc=4
16 2 0123232030101312 k=16 r=2 ed=(2, 2) Nc=4
17 0 01212320303013212 k=12 r=2 ed=(2, 2) Nc=4
17 0 01212320303103212 k=12 r=2 ed=(2, 2) Nc=4
17 0 01212320323013102 k=12 r=2 ed=(2, 2) Nc=4
17 0 01212320323103102 k=12 r=2 ed=(2, 2) Nc=4
17 0 01213203032012103 k=12 r=2 ed=(2, 2) Nc=4
17 0 01213203032032101 k=12 r=2 ed=(2, 2) Nc=4
17 0 01231230102012313 k=12 r=2 ed=(2, 2) Nc=4
17 0 01231230102312310 k=12 r=2 ed=(2, 2) Nc=4
17 0 01231303012021203 k=12 r=2 ed=(2, 2) Nc=4
17 0 01231303120212013 k=12 r=2 ed=(2, 2) Nc=4
17 0 01231323102010213 k=12 r=2 ed=(2, 2) Nc=4
17 0 01232303021012103 k=12 r=2 ed=(2, 2) Nc=4
17 0 01232323010101232 k=12 r=2 ed=(2, 2) Nc=4
17 0 01232323021010132 k=12 r=2 ed=(2, 2) Nc=4
17 0 01232323101010232 k=12 r=2 ed=(2, 2) Nc=4
17 0 01232323120101032 k=12 r=2 ed=(2, 2) Nc=4
17 1 01212303102013231 k=12 r=2 ed=(2, 2) Nc=4
17 1 01212303132013201 k=12 r=2 ed=(2, 2) Nc=4
17 1 01212320130310321 k=12 r=2 ed=(2, 2) Nc=4
17 1 01212320132310301 k=12 r=2 ed=(2, 2) Nc=4
17 1 01212323102013031 k=12 r=2 ed=(2, 2) Nc=4
17 1 01212323103013021 k=12 r=2 ed=(2, 2) Nc=4
17 1 01213203102013231 k=12 r=2 ed=(2, 2) Nc=4
17 1 01213203132013201 k=12 r=2 ed=(2, 2) Nc=4
17 1 01213230303201210 k=12 r=2 ed=(2, 2) Nc=4
17 1 01231203101231230 k=12 r=2 ed=(2, 2) Nc=4
17 1 01231230101201230 k=12 r=2 ed=(2, 2) Nc=4
17 1 01231303012023231 k=12 r=2 ed=(2, 2) Nc=4
17 1 01231303102023231 k=12 r=2 ed=(2, 2) Nc=4
17 1 01231320101201320 k=12 r=2 ed=(2, 2) Nc=4
17 1 01231320301203120 k=12 r=2 ed=(2, 2) Nc=4
17 1 01231323101201023 k=12 r=2 ed=(2, 2) Nc=4
17 1 01232303012013231 k=12 r=2 ed=(2, 2) Nc=4
17 1 01232303102013231 k=12 r=2 ed=(2, 2) Nc=4
17 1 01232323010103132 k=12 r=2 ed=(2, 2) Nc=4
17 1 01232323012103130 k=12 r=2 ed=(2, 2) Nc=4
17 1 01232323101013032 k=12 r=2 ed=(2, 2) Nc=4
17 1 01232323102013031 k=12 r=2 ed=(2, 2) Nc=4
17 2 01212132030301312 k=14 r=2 ed=(2, 2) Nc=4
17 2 01212132030320311 k=14 r=2 ed=(2, 2) Nc=4
17 2 01212320303013122 k=14 r=2 ed=(2, 2) Nc=4
17 2 01212320303103122 k=14 r=2 ed=(2, 2) Nc=4
17 2 01212323030101213 k=14 r=2 ed=(2, 2) Nc=4
17 2 01213123030201213 k=14 r=2 ed=(2, 2) Nc=4
17 2 01213123030230211 k=14 r=2 ed=(2, 2) Nc=4
17 2 01213132032020311 k=14 r=2 ed=(2, 2) Nc=4
17 2 01213132032021013 k=14 r=2 ed=(2, 2) Nc=4
17 2 01213132302020311 k=14 r=2 ed=(2, 2) Nc=4
17 2 01213132302021013 k=14 r=2 ed=(2, 2) Nc=4
17 2 01213232030101312 k=14 r=2 ed=(2, 2) Nc=4
17 2 01213232032101013 k=14 r=2 ed=(2, 2) Nc=4
17 2 01213232302101013 k=14 r=2 ed=(2, 2) Nc=4
17 2 01231230302302311 k=14 r=2 ed=(2, 2) Nc=4
17 2 01231230302312310 k=14 r=2 ed=(2, 2) Nc=4
17 2 01231230310301322 k=14 r=2 ed=(2, 2) Nc=4
17 2 01231230310302321 k=14 r=2 ed=(2, 2) Nc=4
17 2 01231232010310132 k=14 r=2 ed=(2, 2) Nc=4
17 2 01231232012010133 k=14 r=2 ed=(2, 2) Nc=4
17 2 01231232312010103 k=14 r=2 ed=(2, 2) Nc=4
17 2 01231323010210123 k=14 r=2 ed=(2, 2) Nc=4
17 2 01232120301031322 k=14 r=2 ed=(2, 2) Nc=4
17 2 01232120301301322 k=14 r=2 ed=(2, 2) Nc=4
17 2 01232120310301322 k=14 r=2 ed=(2, 2) Nc=4
17 2 01232120310303122 k=14 r=2 ed=(2, 2) Nc=4
17 2 01232130301301322 k=14 r=2 ed=(2, 2) Nc=4
17 2 01232130301321320 k=14 r=2 ed=(2, 2) Nc=4
17 2 01232130310301322 k=14 r=2 ed=(2, 2) Nc=4
17 2 01232130310302321 k=14 r=2 ed=(2, 2) Nc=4
17 2 01232320310101322 k=14 r=2 ed=(2, 2) Nc=4
17 2 01232320310103122 k=14 r=2 ed=(2, 2) Nc=4
17 3 01212302030121320 k=12 r=2 ed=(2, 2) Nc=4
17 3 01212302030123120 k=12 r=2 ed=(2, 2) Nc=4
17 3 01212302303013012 k=12 r=2 ed=(2, 2) Nc=4
17 3 01212302303021013 k=12 r=2 ed=(2, 2) Nc=4
17 3 01212302303021023 k=12 r=2 ed=(2, 2) Nc=4
17 3 01212302303023021 k=12 r=2 ed=(2, 2) Nc=4
17 3 01212302303121023 k=12 r=2 ed=(2, 2) Nc=4
17 3 01212302303123120 k=12 r=2 ed=(2, 2) Nc=4
17 3 01213202030131320 k=12 r=2 ed=(2, 2) Nc=4
17 3 01213202032031312 k=12 r=2 ed=(2, 2) Nc=4
17 3 01213202302013012 k=12 r=2 ed=(2, 2) Nc=4
17 3 01213202302031012 k=12 r=2 ed=(2, 2) Nc=4
17 3 01213203030132120 k=12 r=2 ed=(2, 2) Nc=4
17 3 01213232032010312 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231202010313120 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231202012013132 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231202302013012 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231202302031012 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231202302313012 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231202310313120 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231202312313102 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231203010312120 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231230310312120 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231232012010132 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231232302301012 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231232312310102 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231302010213130 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231302012013132 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231302302013012 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231302302021013 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231303010212130 k=12 r=2 ed=(2, 2) Nc=4
17 3 01231323012010132 k=12 r=2 ed=(2, 2) Nc=4
17 3 01232302010121320 k=12 r=2 ed=(2, 2) Nc=4
